Municipio,Departamento
Leticia,Amazonas
Puerto Nariño,Amazonas
Abejorral,Antioquia
Abriaqui,Antioquia
Alejandría,Antioquia
Amaga,Antioquia
Amalfi,Antioquia
Andes,Antioquia
Angelopolis,Antioquia
Angostura,Antioquia
Anori,Antioquia
Anza,Antioquia
Apartado,Antioquia
Arboletes,Antioquia
Argelia,Antioquia
Armenia,Antioquia
Bagre,Antioquia
Barbosa,Antioquia
Bello,Antioquia
Belmira,Antioquia
Betania,Antioquia
Betulia,Antioquia
Bolívar,Antioquia
Briceño,Antioquia
Buritica,Antioquia
Caceres,Antioquia
Caldas,Antioquia
Campamento,Antioquia
Cañasgordas,Antioquia
Caracoli,Antioquia
Caramanta,Antioquia
Carepa,Antioquia
Carmen de Viboral,Antioquia
Carolina,Antioquia
Chigorodo,Antioquia
Cisneros,Antioquia
Ciudad Bolívar,Antioquia
Cocorna,Antioquia
Concepción,Antioquia
Concordia,Antioquia
Copacabana,Antioquia
Dabeiba,Antioquia
Ebejico,Antioquia
Entrerrios,Antioquia
Envigado,Antioquia
Fredonia,Antioquia
Frontino,Antioquia
Giradota,Antioquia
Giraldo,Antioquia
Gómez Plata,Antioquia
Granada,Antioquia
Guadalupe,Antioquia
Guarne,Antioquia
Guatape,Antioquia
Heliconia,Antioquia
Hispania,Antioquia
Itagui ,Antioquia
Ituango,Antioquia
Jerico,Antioquia
La Ceja,Antioquia
La Estrella,Antioquia
Liborina,Antioquia
Marinilla,Antioquia
Matías,Antioquia
Medellín,Antioquia
Montebello,Antioquia
Murindo,Antioquia
Mutata,Antioquia
Nare,Antioquia
Nariño,Antioquia
Nechi,Antioquia
Necocli,Antioquia
Olaya,Antioquia
Peñol,Antioquia
Peque,Antioquia
Puerto Berrio,Antioquia
Puerto Triunfo,Antioquia
Remedios,Antioquia
Retiro,Antioquia
Río Negro,Antioquia
Sabanalarga,Antioquia
Sabaneta,Antioquia
Salgar,Antioquia
San Andrés,Antioquia
San Carlos,Antioquia
San Francisco,Antioquia
San Jeronimo,Antioquia
San José de la Montaña,Antioquia
San Juan de Uraba,Antioquia
San Luis,Antioquia
San Pedro,Antioquia
San Pedro U,Antioquia
San Rafael,Antioquia
San Roque,Antioquia
San Vicente,Antioquia
Santa Barbara,Antioquia
Santa Fe de Antioquia,Antioquia
Santa Rosa de Osos,Antioquia
Santo Domingo,Antioquia
Santuario,Antioquia
Segovia,Antioquia
Sopetran,Antioquia
Tamesis,Antioquia
Taraza,Antioquia
Tarso,Antioquia
Titiriti,Antioquia
Toledo,Antioquia
Turbo,Antioquia
Uramita,Antioquia
Urrao,Antioquia
Valparaiso,Antioquia
Viboral,Antioquia
Vijia del Fuerte,Antioquia
Yali,Antioquia
Yarumbal,Antioquia
Yolombo,Antioquia
Yondo,Antioquia
Zaragoza,Antioquia
Arauca,Arauca
Arauquita,Arauca
Cravo Norte,Arauca
Fortul,Arauca
Puerto Rondon,Arauca
Saravena,Arauca
Tame,Arauca
Baranoa,Atlántico
Barranquilla,Atlántico
Campo de la Cruz,Atlántico
Candelaria,Atlántico
Galapa,Atlántico
Juan de Acosta,Atlántico
Luruaco,Atlántico
Malambo,Atlántico
Manati,Atlántico
Morales,Atlántico
Palmas de Varela,Atlántico
Piojo,Atlántico
Polo Nuevo,Atlántico
Ponedera,Atlántico
Puerto Colombia,Atlántico
Repelón,Atlántico
Río Viejo,Atlántico
Sabanagrande,Atlántico
Sabanalarga,Atlántico
Santa Lucía,Atlántico
Santo Tomás,Atlántico
Soledad,Atlántico
Suan,Atlántico
Tubara,Atlántico
Usiacuri,Atlántico
Achí,Bolívar
Arjona,Bolívar
Calamar,Bolívar
Córdoba,Bolívar
El Carmen de Bolívar,Bolívar
El Guamo,Bolívar
Margarita,Bolívar
María la Baja,Bolívar
Morales,Bolívar
Pinillos,Bolívar
San Fernando,Bolívar
San Jacinto,Bolívar
San Juan Nepomuceno,Bolívar
San Martín de Loba,Bolívar
San Pablo,Bolívar
Santa Catalina,Bolívar
Santa Rosa,Bolívar
Simiti,Bolívar
Soplaviento,Bolívar
Turbaco,Bolívar
Turbana,Bolívar
Zambrano,Bolívar
Almedia,Boyacá
Aquitania,Boyacá
Arcabuco,Boyacá
Belén,Boyacá
Berbeo,Boyacá
Beteitiva,Boyacá
Boavita,Boyacá
Boyacá,Boyacá
Briceño,Boyacá
Buenavista,Boyacá
Busbanza,Boyacá
Caldas,Boyacá
Cameza,Boyacá
Caragoa,Boyacá
Cerinza,Boyacá
Chinavita,Boyacá
Chiquinquira,Boyacá
Chiquiza,Boyacá
Chiscas,Boyacá
Chita,Boyacá
Chitaraque,Boyacá
Chivata,Boyacá
Cienaga,Boyacá
Combita,Boyacá
Coper,Boyacá
Corrales,Boyacá
Covarachia,Boyacá
Cubara,Boyacá
Cucaita,Boyacá
Cuitiva,Boyacá
Duitama,Boyacá
El Cocuy,Boyacá
El Espino,Boyacá
Firavitoba,Boyacá
Floresta,Boyacá
Gachantiva,Boyacá
Guacamayas,Boyacá
Guateque,Boyacá
Guayata,Boyacá
Guican,Boyacá
Jenesano,Boyacá
Jerico,Boyacá
La Capilla,Boyacá
La Uvita,Boyacá
La Victoria,Boyacá
Labranzagano,Boyacá
Macanal,Boyacá
Maripi,Boyacá
Miraflorez,Boyacá
Mongua,Boyacá
Mongui,Boyacá
Moniquira,Boyacá
Motavita,Boyacá
Muzo,Boyacá
Nobsa,Boyacá
Nuevo Colón,Boyacá
Oicata,Boyacá
Otanche,Boyacá
Pachavita,Boyacá
Paez,Boyacá
Paipa,Boyacá
Pajarito,Boyacá
Panqueva,Boyacá
Pauna,Boyacá
Paya,Boyacá
Paz del Río,Boyacá
Pesca,Boyacá
Puerto Boyacá,Boyacá
Quipama,Boyacá
Ramiriqui,Boyacá
Raquira,Boyacá
Rondón,Boyacá
Saboya,Boyacá
Sachica,Boyacá
Samaca,Boyacá
San Eduardo,Boyacá
San José de Pare,Boyacá
San Luís de Gaceno,Boyacá
San Mateo,Boyacá
San Miguel de Sema,Boyacá
San Pablo de Borbur,Boyacá
Santa María,Boyacá
Santa Rosa de Viterbo,Boyacá
Santa Sofía,Boyacá
Santana,Boyacá
Sativanorte,Boyacá
Sativasur,Boyacá
Siachoque,Boyacá
Soata,Boyacá
Sobaca,Boyacá
Socha,Boyacá
Socota,Boyacá
Sogamoso,Boyacá
Somondoco,Boyacá
Sora,Boyacá
Sotaquira,Boyacá
Susacon,Boyacá
Sutamarchan,Boyacá
Sutatenza,Boyacá
Tasco,Boyacá
Tenza,Boyacá
Tibana,Boyacá
Tibasosa,Boyacá
Tinjaca,Boyacá
Toca,Boyacá
Togui,Boyacá
Topaga,Boyacá
Tota,Boyacá
Tunungua,Boyacá
Turmeque,Boyacá
Tuta,Boyacá
Tutaza,Boyacá
Umbita,Boyacá
Ventaquemada,Boyacá
Villa de Leyva,Boyacá
Viracacha,Boyacá
Aguaduas,Caldas
Anserma,Caldas
Aranzazu,Caldas
Belalcazar,Caldas
Chinchina,Caldas
Filadelfia,Caldas
La Dorada,Caldas
La Merced,Caldas
Manizalez,Caldas
Marmato,Caldas
Marquetalia,Caldas
Marulanda,Caldas
Neira,Caldas
Pacora,Caldas
Palestina,Caldas
Pensilvania,Caldas
Riosucio,Caldas
Risaralda,Caldas
Salamina,Caldas
Samana,Caldas
Supia,Caldas
Victoria,Caldas
Villamaria,Caldas
Viterbo,Caldas
Albania,Caqueta
Belén de los Andaquíes,Caqueta
Cartagena del Chaira,Caqueta
Curillo,Caqueta
El Doncello,Caqueta
Florencia,Caqueta
La Montañita,Caqueta
Milán,Caqueta
Morelia,Caqueta
Paujul,Caqueta
Puerto Rico,Caqueta
San José,Caqueta
San Vicente del Caguán,Caqueta
Solano,Caqueta
Valparaiso,Caqueta
Aguazul,Casanare
Chamenza,Casanare
La Salina,Casanare
Mani,Casanare
Monterrey,Casanare
Nunchia,Casanare
Orocue,Casanare
Paz de Aiporo,Casanare
Pore,Casanare
Recetor,Casanare
Sabanalarga,Casanare
San Luís de Palenque,Casanare
Tamara,Casanare
Tauramena,Casanare
Trinidad,Casanare
Yopal,Casanare
Almaguer,Cauca
Argelia,Cauca
Balboa,Cauca
Bolívar,Cauca
Buenos Aires,Cauca
Cajibío,Cauca
Caldono,Cauca
Caloto,Cauca
Corinto,Cauca
El Tambo,Cauca
Guapi,Cauca
Jambalo,Cauca
La Sierra,Cauca
La Vega,Cauca
Mercaderes,Cauca
Miranda,Cauca
Morales,Cauca
Padilla,Cauca
Paez,Cauca
Patia,Cauca
Piendamo,Cauca
Popayán,Cauca
Puerto Tejada,Cauca
Purace,Cauca
Rosas,Cauca
San Sebastián,Cauca
Santa Rosa,Cauca
Santander de Quilichao,Cauca
Silvia,Cauca
Sotara,Cauca
Suárez,Cauca
Timbio,Cauca
Timbiquí,Cauca
Toribio,Cauca
Totoro,Cauca
Aguachica,Cesar
Asteca,Cesar
Becerril,Cesar
Bosconia,Cesar
Chimichagua,Cesar
Chiriguana,Cesar
Curumani,Cesar
El Copey,Cesar
El Paso,Cesar
Gamarra,Cesar
González,Cesar
Jagua de Iribico,Cesar
La Gloria,Cesar
La Paz,Cesar
Manaure,Cesar
Pailitas,Cesar
Pelaya,Cesar
Río de Oro,Cesar
San Alberto,Cesar
San Diego,Cesar
San Martín,Cesar
Tamalameque,Cesar
Valledupar,Cesar
